Timestamp,AGE,CGPA,GENDER,Year of Study,Sleeping Hours,Physical Activity,Stress level,Stress Impact on Academics,Stress Hotspot,Coping with SocialMedia,Social Media Impact on Academics
25/08/2025 11:11:07,22,7.7,Male,2nd Year,7.0,Yes,9,,Assignment/project deadlines,Yes,
25/08/2025 11:39:56,22,8.0,Male,1st Year,7.0,Yes,5,,Assignment/project deadlines,Yes,
25/08/2025 11:51:09,22,9.0,Male,3rd Year,7.0,Yes,5,,Mid-semester exams,Yes,
25/08/2025 12:45:01,21,7.95,Female,4th Year,4.0,No,6,Maybe,Assignment/project deadlines,No,
25/08/2025 12:46:14,22,5.2,Male,3rd Year,4.0,No,5,No,End-semester exams,Yes,
25/08/2025 13:07:57,23,5.4,Male,2nd Year,5.0,Yes,10,Yes,Start of semester,Yes,
25/08/2025 13:08:05,23,9.99,Male,2nd Year,4.0,No,1,Yes,Assignment/project deadlines,Yes,
25/08/2025 13:08:44,18,5.79,Female,4th Year,9.0,Yes,4,Yes,Start of semester,Yes,
25/08/2025 13:09:09,19,8.38,Female,1st Year,8.0,No,5,Maybe,Start of semester,No,
25/08/2025 13:09:42,25,8.54,Male,4th Year,8.0,Yes,6,No,Start of semester,Yes,
25/08/2025 13:10:14,22,5.56,Female,2nd Year,5.0,Yes,4,Yes,End-semester exams,Yes,
25/08/2025 13:10:30,22,5.17,Male,3rd Year,5.0,Yes,6,Yes,Start of semester,Yes,
25/08/2025 13:11:28,20,7.58,Male,1st Year,9.0,No,4,Yes,Mid-semester exams,No,
25/08/2025 13:12:17,23,9.32,Male,4th Year,5.0,Yes,1,No,Mid-semester exams,Yes,
25/08/2025 13:12:56,18,7.58,Male,1st Year,6.0,No,9,Yes,Start of semester,Yes,
25/08/2025 13:13:36,25,9.84,Male,4th Year,6.0,No,5,Yes,Mid-semester exams,Yes,
25/08/2025 13:14:41,19,5.21,Female,3rd Year,9.0,Yes,8,Yes,Mid-semester exams,Yes,
25/08/2025 13:15:29,20,5.25,Female,4th Year,6.0,No,4,No,Assignment/project deadlines,No,
25/08/2025 13:16:11,21,7.64,Female,1st Year,9.0,Yes,9,Yes,Start of semester,Yes,
25/08/2025 13:16:58,24,8.02,Female,1st Year,9.0,No,8,No,Start of semester,No,
25/08/2025 13:17:28,19,9.11,Female,4th Year,7.0,Yes,1,Yes,Mid-semester exams,Yes,
25/08/2025 13:18:03,25,8.89,Female,3rd Year,9.0,Yes,4,Yes,Assignment/project deadlines,Yes,
25/08/2025 13:18:44,23,9.69,Female,3rd Year,7.0,Yes,7,No,End-semester exams,No,
25/08/2025 13:19:33,23,5.98,Female,3rd Year,7.0,Yes,7,No,End-semester exams,No,
25/08/2025 13:20:07,19,5.88,Male,2nd Year,7.0,Yes,9,Maybe,Start of semester,No,
25/08/2025 13:20:48,19,5.88,Male,2nd Year,7.0,Yes,9,Maybe,Start of semester,No,
25/08/2025 13:21:27,21,9.64,Male,4th Year,6.0,No,5,Maybe,End-semester exams,Yes,
25/08/2025 13:22:07,23,7.71,Female,4th Year,6.0,No,8,Maybe,End-semester exams,No,
25/08/2025 13:22:45,19,8.21,Female,2nd Year,5.0,Yes,8,Maybe,Assignment/project deadlines,Yes,
25/08/2025 13:23:34,20,8.85,Female,3rd Year,6.0,No,3,Yes,Assignment/project deadlines,Yes,
25/08/2025 13:24:20,20,8.85,Female,3rd Year,6.0,No,3,Yes,Assignment/project deadlines,Yes,
25/08/2025 13:25:07,20,8.15,Female,1st Year,8.0,No,9,Maybe,Start of semester,No,
25/08/2025 13:25:43,25,6.22,Female,1st Year,5.0,Yes,8,No,Assignment/project deadlines,No,
25/08/2025 13:26:30,25,9.42,Female,3rd Year,5.0,No,9,Yes,Assignment/project deadlines,Yes,
25/08/2025 13:27:00,22,9.88,Female,2nd Year,4.0,Yes,1,Yes,Assignment/project deadlines,No,
25/08/2025 13:27:41,23,9.51,Male,2nd Year,9.0,Yes,7,Yes,Mid-semester exams,No,
25/08/2025 13:28:28,20,8.51,Male,2nd Year,9.0,Yes,6,Yes,End-semester exams,No,
25/08/2025 13:29:03,18,6.77,Female,3rd Year,9.0,Yes,4,Yes,End-semester exams,No,
25/08/2025 13:29:44,25,5.52,Male,3rd Year,5.0,Yes,9,Yes,Mid-semester exams,No,
25/08/2025 13:30:33,23,7.2,Male,4th Year,8.0,Yes,8,Maybe,Start of semester,No,
25/08/2025 13:31:17,25,6.14,Male,1st Year,4.0,Yes,9,Maybe,Assignment/project deadlines,Yes,
25/08/2025 13:31:58,23,6.26,Female,2nd Year,9.0,No,2,Maybe,Start of semester,No,
25/08/2025 13:32:42,21,5.19,Male,3rd Year,9.0,No,5,Yes,End-semester exams,Yes,
25/08/2025 13:33:27,20,5.81,Female,4th Year,8.0,No,9,Maybe,End-semester exams,No,
25/08/2025 13:34:12,18,7.72,Male,4th Year,5.0,No,7,Yes,Start of semester,Yes,
25/08/2025 13:34:48,25,5.47,Female,2nd Year,4.0,Yes,10,No,Start of semester,No,
